"";"Ano";"UF";"CAPITAL";"RM_RIDE";"V1008";"V1012";"V1013";"V1016";"Estrato";"UPA";"V1022";"V1023";"V1030";"V1031";"V1032";"posest";"A001";"A001A";"A001B1";"A001B2";"A001B3";"A002";"A003";"A004";"A005";"B0011";"B0012";"B0013";"B0014";"B0015";"B0016";"B0017";"B0018";"B0019";"B00110";"B00111";"B00112";"B002";"B0031";"B0032";"B0033";"B0034";"B0035";"B0036";"B0037";"B0041";"B0042";"B0043";"B0044";"B0045";"B0046";"B005";"B006";"B007";"C001";"C002";"C003";"C004";"C005";"C0051";"C0052";"C0053";"C006";"C007";"C007A";"C007B";"C007C";"C007D";"C007E";"C007E1";"C007E2";"C008";"C009";"C010";"C0101";"C01011";"C01012";"C0102";"C01021";"C01022";"C0103";"C0104";"C011A";"C011A1";"C011A11";"C011A12";"C011A2";"C011A21";"C011A22";"C012";"C013";"C014";"C015";"C016";"C017A";"D0011";"D0013";"D0021";"D0023";"D0031";"D0033";"D0041";"D0043";"D0051";"D0053";"D0061";"D0063";"D0071";"D0073";"F001";"F0021";"F0022";"F0061";"F006"
"1";2020;11;11;NA;1;4;5;1;1110011;110015970;1;1;152194;138,2562412;143,56274468;1114;1;1;5;8;1984;35;1;4;5;1;1;2;2;1;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2;NA;NA;NA;NA;NA;NA;NA;NA;1;1;NA;NA;NA;NA;NA;NA;NA;2;4;NA;1;35;6;NA;NA;NA;48;48;1;1;4;1045;NA;NA;NA;NA;NA;1;1;4;1045;NA;NA;NA;1;NA;NA;NA;NA;NA;2;NA;2;NA;2;NA;2;NA;1;1200;2;NA;2;NA;1;NA;NA;1;2
"2";2020;11;11;NA;1;4;5;1;1110011;110015970;1;1;154290;138,2562412;155,17556973;1123;2;2;18;8;1990;29;2;4;7;1;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;NA;NA;NA;NA;NA;NA;NA;NA;2;1;NA;NA;NA;NA;NA;NA;NA;2;7;NA;NA;34;22;NA;NA;NA;12;4;1;1;4;1045;NA;NA;NA;NA;NA;1;1;0;0;NA;NA;NA;2;1;2;NA;NA;NA;2;NA;2;NA;2;NA;2;NA;1;1200;2;NA;2;NA;1;NA;NA;1;2
"3";2020;11;11;NA;1;4;5;1;1110011;110015970;1;1;146160;138,2562412;191,78621375;1112;3;4;25;12;2006;13;1;4;2;2;2;2;2;2;2;2;2;2;2;2;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;2;NA;2;NA;2;NA;1;1200;2;NA;2;NA;1;NA;NA;1;2
"4";2020;11;11;NA;1;4;5;1;1110011;110015970;1;1;146160;138,2562412;191,78621375;1112;4;4;24;8;2009;10;1;4;2;2;2;2;2;2;2;2;2;2;2;2;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;2;NA;2;NA;2;NA;1;1200;2;NA;2;NA;1;NA;NA;1;2
"5";2020;11;11;NA;3;2;5;1;1110011;110015970;1;1;90903;138,2562412;144,13492924;1126;1;1;25;12;1961;58;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;2;1;2;NA;2;NA;1;130;2;NA;1;600;2;NA;2;NA;1;NA;NA;1;1
"6";2020;11;11;NA;3;2;5;1;1110011;110015970;1;1;154290;138,2562412;155,17556973;1123;2;5;18;3;1999;21;2;2;3;2;2;2;2;2;2;2;2;2;2;2;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;1;NA;NA;NA;NA;NA;NA;NA;2;1;NA;3;1;24;NA;NA;NA;40;24;1;1;4;1045;NA;NA;NA;NA;NA;1;1;2;600;NA;NA;NA;1;NA;2;NA;NA;NA;2;NA;2;NA;1;130;2;NA;1;600;2;NA;2;NA;1;NA;NA;1;1
"7";2020;11;11;NA;3;2;5;1;1110011;110015970;1;1;133809;138,2562412;160,80014921;1121;3;10;5;1;2018;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;2;NA;1;130;2;NA;1;600;2;NA;2;NA;1;NA;NA;1;1
"8";2020;11;11;NA;4;4;5;1;1110011;110015970;1;1;122285;138,2562412;169,76165601;1115;1;1;18;2;1973;47;1;4;2;1;1;2;2;1;2;2;1;2;1;2;1;2;1;2;1;2;2;2;2;NA;NA;NA;NA;NA;NA;NA;NA;2;1;NA;NA;NA;NA;NA;NA;NA;2;7;NA;NA;18;5;NA;NA;NA;40;10;1;1;5;2000;NA;NA;NA;NA;NA;1;1;5;2000;NA;NA;NA;1;NA;2;NA;NA;NA;2;NA;2;NA;2;NA;2;NA;2;NA;2;NA;2;NA;1;NA;NA;1;1
"9";2020;11;11;NA;4;4;5;1;1110011;110015970;1;1;139963;138,2562412;155,44750627;1122;3;5;99;99;9999;18;2;4;2;2;2;2;2;2;2;2;2;2;2;2;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;7;1;2;NA;2;NA;2;NA;2;NA;2;NA;2;NA;2;NA;1;NA;NA;1;1
"10";2020;11;11;NA;4;4;5;1;1110011;110015970;1;1;146160;138,2562412;191,78621375;1112;6;5;99;99;9999;11;1;4;2;2;2;2;2;2;2;2;2;2;2;2;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;2;NA;2;NA;2;NA;2;NA;2;NA;2;NA;1;NA;NA;1;1
