Provider Number;Hospital Name;City;State;County Name;DeathRatesHeartAttack;DeathRatesHeartFailure;DeathRatesPneumonia
10001;SOUTHEAST ALABAMA MEDICAL CENTER;DOTHAN;AL;HOUSTON;14,3;11,4;10,9
10005;MARSHALL MEDICAL CENTER SOUTH;BOAZ;AL;MARSHALL;18,5;15,2;13,9
10006;ELIZA COFFEE MEMORIAL HOSPITAL;FLORENCE;AL;LAUDERDALE;18,1;11,3;13,4
10007;MIZELL MEMORIAL HOSPITAL;OPP;AL;COVINGTON;;13,6;14,9
10008;CRENSHAW COMMUNITY HOSPITAL;LUVERNE;AL;CRENSHAW;;13,8;15,8
10010;MARSHALL MEDICAL CENTER NORTH;GUNTERSVILLE;AL;MARSHALL;;12,5;8,7
10011;ST VINCENT'S EAST;BIRMINGHAM;AL;JEFFERSON;17,7;10,9;16,2
10012;DEKALB REGIONAL MEDICAL CENTER;FORT PAYNE;AL;DE KALB;18;16,6;15,8
10016;SHELBY BAPTIST MEDICAL CENTER;ALABASTER;AL;SHELBY;15,9;13,6;10,7
10018;CALLAHAN EYE FOUNDATION HOSPITAL;BIRMINGHAM;AL;JEFFERSON;;;
10019;HELEN KELLER MEMORIAL HOSPITAL;SHEFFIELD;AL;COLBERT;19,6;12,6;15
10021;DALE MEDICAL CENTER;OZARK;AL;DALE;17,3;11,8;9,9
10022;CHEROKEE MEDICAL CENTER;CENTRE;AL;CHEROKEE;;12,1;14,7
10023;BAPTIST MEDICAL CENTER SOUTH;MONTGOMERY;AL;MONTGOMERY;17,8;11,8;14,3
10024;JACKSON HOSPITAL & CLINIC INC;MONTGOMERY;AL;MONTGOMERY;17,5;10,2;14,7
10025;GEORGE H. LANIER MEMORIAL HOSPITAL;VALLEY;AL;CHAMBERS;15,4;8,8;10,3
10027;ELBA GENERAL HOSPITAL;ELBA;AL;COFFEE;;;12
10029;EAST ALABAMA MEDICAL CENTER AND SNF;OPELIKA;AL;LEE;16,3;12,9;12,1
10032;WEDOWEE HOSPITAL;WEDOWEE;AL;RANDOLPH;;10,4;13,9
10033;UNIVERSITY OF ALABAMA HOSPITAL;BIRMINGHAM;AL;JEFFERSON;15;12,5;12,7
10034;COMMUNITY HOSPITAL INC;TALLASSEE;AL;ELMORE;17,1;12,3;11,6
10035;CULLMAN REGIONAL MEDICAL CENTER;CULLMAN;AL;CULLMAN;17,1;12,1;12,1
10036;ANDALUSIA REGIONAL HOSPITAL;ANDALUSIA;AL;COVINGTON;;10,1;11,1
10038;STRINGFELLOW MEMORIAL HOSPITAL;ANNISTON;AL;CALHOUN;16,4;12;12
10039;HUNTSVILLE HOSPITAL;HUNTSVILLE;AL;MADISON;15,2;12,4;14,1
10040;GADSDEN REGIONAL MEDICAL CENTER;GADSDEN;AL;ETOWAH;16,7;10,7;14,6
10043;CHILTON MEDICAL CENTER;CLANTON;AL;CHILTON;;11,5;11,2
10044;MARION REGIONAL MEDICAL CENTER;HAMILTON;AL;MARION;;11,5;10
10045;FAYETTE MEDICAL CENTER;FAYETTE;AL;FAYETTE;16,7;11,7;12,9
10046;RIVERVIEW REGIONAL MEDICAL CENTER;GADSDEN;AL;ETOWAH;16,9;10,8;12,7
10047;GEORGIANA HOSPITAL;GEORGIANA;AL;BUTLER;14,5;10,8;11,3
10049;MEDICAL CENTER ENTERPRISE;ENTERPRISE;AL;COFFEE;16,6;12,9;12,9
10050;ST VINCENTS BLOUNT;ONEONTA;AL;BLOUNT;;13;15,3
10051;GREENE COUNTY HOSPITAL;EUTAW;AL;GREENE;;11,2;11,5
10052;LAKE MARTIN COMMUNITY HOSPITAL;DADEVILLE;AL;TALLAPOOSA;;10,9;10,8
10054;PARKWAY MEDICAL CENTER;DECATUR;AL;MORGAN;15,8;10,5;11,9
10055;FLOWERS HOSPITAL;DOTHAN;AL;HOUSTON;15,2;12;11,3
10056;ST VINCENT'S BIRMINGHAM;BIRMINGHAM;AL;JEFFERSON;16,2;10,6;12,6
10058;BIBB MEDICAL CENTER;CENTREVILLE;AL;BIBB;;14;13,6
10059;LAWRENCE MEDICAL CENTER;MOULTON;AL;LAWRENCE;15,6;9,9;9,8
10061;HIGHLANDS MEDICAL CENTER;SCOTTSBORO;AL;JACKSON;15;13,4;12,9
10062;WIREGRASS MEDICAL CENTER;GENEVA;AL;GENEVA;;10,6;12,3
10065;RUSSELL HOSPITAL;ALEXANDER CITY;AL;TALLAPOOSA;17,1;11,6;14,9
10066;FLORALA MEMORIAL HOSPITAL;FLORALA;AL;COVINGTON;;10,4;12,1
10069;MEDICAL CENTER BARBOUR;EUFAULA;AL;BARBOUR;;13,5;15
10073;CLAY COUNTY HOSPITAL;ASHLAND;AL;CLAY;16,7;12,6;11,8
10078;NORTHEAST ALABAMA REGIONAL MED CENTER;ANNISTON;AL;CALHOUN;15,6;11,2;13,2
10079;ATHENS-LIMESTONE HOSPITAL;ATHENS;AL;LIMESTONE;15;11,7;12,1
10083;SOUTH BALDWIN REGIONAL MEDICAL CENTER;FOLEY;AL;BALDWIN;15,8;15,1;9,8
10085;DECATUR GENERAL HOSPITAL;DECATUR;AL;MORGAN;16,8;10,9;11,9
10086;NORTHWEST MEDICAL CENTER;WINFIELD;AL;MARION;;11,8;13,1
10087;UNIV OF SOUTH ALABAMA MEDICAL CENTER;MOBILE;AL;MOBILE;;12,5;
10089;WALKER BAPTIST MEDICAL CENTER;JASPER;AL;WALKER;17;10,8;11,9
10090;PROVIDENCE HOSPITAL;MOBILE;AL;MOBILE;15,2;13,5;10,6
10091;GROVE HILL MEMORIAL HOSPITAL;GROVE HILL;AL;CLARKE;;10,4;12,1
10092;D C H REGIONAL MEDICAL CENTER;TUSCALOOSA;AL;TUSCALOOSA;15,8;11,2;11,3
10095;HALE COUNTY HOSPITAL;GREENSBORO;AL;HALE;;10,7;11,5
10097;ELMORE COMMUNITY HOSPITAL;WETUMPKA;AL;ELMORE;;11,3;11,2
10099;D W MCMILLAN MEMORIAL HOSPITAL;BREWTON;AL;ESCAMBIA;15,7;14,8;12,6
10100;THOMAS HOSPITAL;FAIRHOPE;AL;BALDWIN;14,7;12,8;13,1
10101;CITIZENS BAPTIST MEDICAL CENTER;TALLADEGA;AL;TALLADEGA;17,3;14,9;12,1
10102;J PAUL JONES HOSPITAL;CAMDEN;AL;WILCOX;;;11,4
10103;BAPTIST MEDICAL CENTER-PRINCETON;BIRMINGHAM;AL;JEFFERSON;14,9;11,4;11,6
10104;TRINITY MEDICAL CENTER;BIRMINGHAM;AL;JEFFERSON;16,8;12,9;13,9
10108;PRATTVILLE BAPTIST HOSPITAL;PRATTVILLE;AL;AUTAUGA;14,6;14,8;14,2
10109;PICKENS COUNTY MEDICAL CENTER;CARROLLTON;AL;PICKENS;;12,6;12,4
